start time;end time;elapsed utime;
161087931;161088238;307;
161089028;161089338;310;
161090125;161090447;322;
161091238;161091527;289;
161092336;161092625;289;
161093434;161093723;289;
161094537;161094826;289;
161095636;161095925;289;
161096734;161096994;260;
161097828;161098088;260;
161098920;161099180;260;
161100013;161100290;277;
161101105;161101387;282;
161102197;161102482;285;
161103291;161103551;260;
161104384;161104654;270;
161105477;161105747;270;
161106570;161106831;261;
161107663;161107923;260;
161108755;161109015;260;
161109847;161110117;270;
161110938;161111227;289;
161112029;161112312;283;
161113120;161113402;282;
161114223;161114493;270;
161115321;161115581;260;
161116415;161116676;261;
161117510;161117808;298;
161118609;161118898;289;
161119707;161119996;289;
161120805;161121094;289;
